id,address,categories,city,country,keys,latitude,longitude,name,postalCode,province,twitter,websites
AVwc__ln_7pvs4fz1Nd5,3229 Washington Ave,"Brewery,Beer Garden,Performing Arts Venue,Brewery, Beer Garden, and Performing Arts Venue",Saint Louis,US,us/mo/saintlouis/3229washingtonave/1242676123,38.63774588,-90.22558603,Urban Chestnut Brewing Company,63103,MO,urbanchestnut,http://urbanchestnut.com
AVwc_2cd_7pvs4fz1L8E,639 Conner St,"Brewery,Gastropub",Noblesville,US,us/in/noblesville/639connerst/432991967,40.045274,-86.015334,Barley Island Brewing Company,46060,IN,barleyisland,http://www.barleyisland.com
AVwc_fjQIN2L1WUfrFYN,30 Germania St,"Brewery,Brewers",Jamaica Plain,US,us/ma/jamaicaplain/30germaniast/759551491,42.31451355,-71.10318078,Samuel Adams Brewery,2130,MA,samueladamsbeer,http://www.samueladams.com/brewery-and-craft/our-brewery
AVwc_h6kIN2L1WUfrFxW,137 Anacapa St,"Brewery,Beer Garden,Brewery and Beer Garden Lower State,Brewery and Beer Garden",Santa Barbara,US,us/ca/santabarbara/137anacapast/-606093222,34.41457978,-119.6908621,Figueroa Mountain Brewing Company,93101,CA,figmtn,http://figmtnbrew.com
AVwc_jV-kufWRAb51LiO,4170 Morena Blvd,"Attraction,Brewery,Brewery Bay Ho,restaurant,yoga studio",San Diego,US,us/ca/sandiego/4170morenablvd/-700631527,32.8028741,-117.2121683,Bitter Brothers Brewing Co.,92117,CA,bitter_brothers,"http://bitterbrothers.com,http://bitterbrothers.com/"
AVwc_n7ykufWRAb51MaT,1430 Washington Ave S,"Brewery,American Restaurant,Restaurant,Brewery and American Restaurant",Minneapolis,US,us/mn/minneapolis/1430washingtonaves/676796896,44.973194,-93.2478,Minneapolis Town Hall Brewery,55454,MN,thbrewery,http://townhallbrewery.com
AVwc_O9XIN2L1WUfrCsO,4720 Eastern Ave,"Brew Pubs,Beer and Ale,Liquor Stores,Bars,Restaurants,Brewers,Brewery,Beer & Ale",Cincinnati,US,us/oh/cincinnati/4720easternave/-1731453462,39.11976,-84.41839,Bad Tom Smith Brewing,45226,OH,badtombrewing,http://www.badtomsmithbrewing.com
AVwc_ogr_7pvs4fz1JYJ,661 W Arrow Hwy,"Gastropub,Brewery,Restaurant",San Dimas,US,us/ca/sandimas/661warrowhwy/1037864111,34.10608,-117.81773,Clayton Brewing Company,91773,CA,claytonbrewing,http://claytonbrewingco.com
AVwc_-PjByjofQCxkdXP,2374 E Cinema Dr,"Brewery,Brewery Southeast Meridian",Meridian,US,us/id/meridian/2374ecinemadr/-519377810,43.59133291,-116.3666511,Slanted Rock Brewing Co,83642,ID,slantedrock,http://slantedrock.com
AVwc_rzbkufWRAb51NKb,5048 Airport Pulling Rd,"Wine Shop, Liquor Store, and Brewery,Gifts & Novelties,Breweries,Beer & Ale Distributors,Wine & Distilled Beverages Retail,Wine Stores,Liquor Stores,Cigarettes & Tobacco,Beer & Ale Retail",Naples,US,us/fl/naples/5048airportpullingrd/-1152707038,26.209177,-81.768152,Total Wine & More,34105,FL,totalwine,http://www.totalwine.com/store-info/florida-naples/908
